65;加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl;['加勒比海', '海盗', '巴伯', '巴罗萨', '海盗船']
66;唐伯虎点秋香 唐伯虎點秋香;['夫人', '上门', '内功', '脉象', '心酸']
67;一出好戏;['彩票', '荒岛', '远房', '表弟', '习惯性']
68;致命魔术 The Prestige;['魔术', '魔术师', '心智', '圈子里', '创造力']
69;沉默的羔羊 The Silence of the Lambs;['丽斯', '博士', '犯罪心理', '茱迪', '个人经历']
70;釜山行 부산행;['丧尸', '釜山', '列车', '乘客', '女儿']
71;贫民窟的百万富翁 Slumdog Millionaire;['孟买', '印度']
72;闻香识女人 Scent of a Woman;['法兰', '选择题', '恶作剧', '坦白', '中学生']
73;人再囧途之泰囧;['泰国', '滴油', '渤饰', '油霸', '地想']
74;低俗小说 Pulp Fiction;['故事', '马沙', '金表', '人和事', '尾声']
75;布达佩斯大饭店 The Grand Budapest Hotel;['作家', '饭店', '进晚餐', '大饭店', '席间']
76;熔炉 도가니;['美饰', '校长', '女厕所', '下课后', '雾津']
77;喜剧之王 喜劇之王;['演员', '训练班', '街坊', '福利', '中柳']
78;爱乐之城 La La Land;['试镜', '咖啡师', '林饰', '塞巴', '片场']
79;老炮儿;['炮儿', '北京']
80;夏洛特烦恼;['老婆', '智饰', '学生', '时代', '真实感']
81;西虹市首富;['西虹市', '丙级', '大翔队', '内花', '守门员']
82;告白;['森口', '学生', '女儿', '风暴', '教师']
83;三块广告牌 Three Billboards Outside Ebbing, Missouri;['预兆', '案子', '注意力', '警方', '婚姻']
84;血战钢锯岭 Hacksaw Ridge;['钢锯', '军医', '冲绳岛', '几经周折', '枪林弹雨']
85;重庆森林 重慶森林;['爱情', '女杀手', '保质期', '综合症', '温情']
86;西游记之大圣归来;['配音', '江流', '小女孩', '长安', '石猴']
87;指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring;['魔戒', '魔君', '力量', '巴金', '生性']
88;驴得水;['老师', '品行不端', '学校', '突击检查', '小学校']
89;唐人街探案2;['大赛', '世界', '奖金', '纽约', '秘密']
90;致命ID Identity;['旅馆', '汽车旅馆', '故事', '女星', '大作']
91;哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone;['哈利', '学院', '海格', '魔法师', '姨妈家']
92;湄公河行动;['糯卡', '湄公河', '船员', '商船', '中国']
93;海王 Aquaman;['陆地', '同母异父', '人类', '未婚妻', '私生子']
94;活着;['同名', '小说']
95;被嫌弃的松子的一生 嫌われ松子の一生;['姑姑', '香川', '太饰', '父亲', '房子']
96;断背山 Brokeback Mountain;['希斯', '怀俄明州', '羊群', '牧羊', '开朗']
97;美丽心灵 A Beautiful Mind;['传记片', '本片', '福布斯', '数学家', '人物']
98;敦刻尔克 Dunkirk;['敦刻尔克', '敌军', '绝境', '船员', '步步']
99;天堂电影院 Nuovo Cinema Paradiso;['卡西欧', '放映师', '雷饰', '放电影', '菲利浦']
100;天才枪手 ฉลาดเกมส์โกง;['作弊', '考场', '天才', '学霸', '茱蒂']
101;指环王3：王者无敌 The Lord of the Rings: The Return of the King;['魔戒', '伊利亚', '魔君', '饰率', '魔幻']
102;王牌特工：特工学院 Kingsman: The Secret Service;['战友', '科林', '格西', '亚历克斯', '徽章']
103;狮子王 The Lion King;['刀疤', '狮子', '王位', '叔叔', '王国']
104;恐怖游轮 Triangle;['游艇', '游轮', '众人', '落海', '单亲']
105;疯狂的石头;['翡翠', '工艺品厂', '宝物', '幕幕', '工人工资']
106;黑客帝国 The Matrix;['现实', '基奴', '饰墨', '系统控制', '救世主']
107;真爱至上 Love Actually;['杂烩', '喜剧']
108;复仇者联盟 The Avengers;['英雄', '神盾局', '雷神', '鹰眼', '指挥官']
109;无问西东;['果果', '勇气', '年轻人', '人生']
110;美人鱼;['填海造地', '女强人', '卧底', '情愫', '人鱼']
111;毒液：致命守护者 Venom;['女友', '基金会', '新闻记者', '邮箱', '观众']
112;国王的演讲 The King's Speech;['公爵', '治疗师', '招法', '宅邸', '口吃']
113;死亡诗社 Dead Poets Society;['名校', '罗宾', '新学期', '教学风格', '毕业班']
114;驯龙高手 How to Train Your Dragon;['希卡', '配音', '维京', '族人', '部落']
115;入殓师 おくりびと;['大悟', '社长', '代理', '美香', '山崎']
116;中国合伙人;['梦想', '好友', '美国签证', '高考落榜', '学校']
117;傲慢与偏见 Pride & Prejudice;['宾格', '好感', '姐妹', '情愫', '小地主']
118;乱世佳人 Gone with the Wind;['农场主', '千金', '农场', '弟弟', '妻子']
119;穿普拉达的女王 The Devil Wears Prada;['爱令', '时尚杂志', '老前辈', '男友', '指点']
120;失恋33天;['策划师', '娘娘腔', '金婚', '闺蜜', '针峰']
121;指环王2：双塔奇兵 The Lord of the Rings: The Two Towers;['观赏性', '情节', '故事', '格局', '风格']
122;火星救援 The Martian;['火星', '宇航员', '航天', '事实', '基地']
123;蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises;['蝙蝠侠', '董事会', '猫女', '将哥', '警长']
124;北京遇上西雅图;['败金', '女文', '月子', '美食', '幻想']
125;绿皮书 Green Book;['笑料', '钢琴家', '白人', '行程', '黑人']
126;后会无期;['江河', '旅程', '笔友', '故事', '东极岛']
127;勇敢的心 Braveheart;['苏格兰', '贵族', '民族英雄', '武术', '好友']
128;岁月神偷 歲月神偷;['港英政府', '永利', '老字号', '旋涡', '台风']
129;功夫;['斧头帮', '黑道', '大业', '缝隙', '成就']
130;冰雪奇缘 Frozen;['配音', '冰雪', '年龄', '两姐妹', '环海']
131;哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2;['伏地', '哈利', '魂器', '特饰', '森饰']
132;心灵捕手 Good Will Hunting;['特饰', '数学题', '清洁工', '滋事', '看守所']
133;妖猫传;['妖猫', '染谷', '远渡重洋', '空海', '厄运']
134;飞越疯人院 One Flew Over the Cuckoo's Nest;['精神病院', '监狱']
135;两杆大烟枪 Lock, Stock and Two Smoking Barrels;['赌债', '赌局', '毒贩', '玩牌', '烟枪']
136;羞羞的铁拳;['假拳', '雨饰', '文饰', '掮客', '爆棚']
137;寻龙诀;['草原', '渤饰', '满街跑', '移民局', '金盆洗手']
138;秒速5厘米 秒速5センチメートル;['两颗心', '樱花', '速度']
139;金陵十三钗;['教堂', '日军', '教官', '强行进入', '德械']
140;倩女幽魂;['姥姥', '魔掌', '午马', '艳女', '树妖']
141;阳光灿烂的日子;['米兰', '毛孩', '万能钥匙', '炮局', '少年人']
142;猫鼠游戏 Catch Me If You Can;['通缉犯', '身份', '乔装', '足迹', '常人']
143;唐人街探案;['匪帮', '神探', '凶案', '警校', '表舅']
144;射雕英雄传之东成西就 射鵰英雄傳之東成西就;['三公主', '国王', '金轮', '淫威', '九宫山']
145;阳光姐妹淘 써니;['春花', '黄珍熙', '同班', '双眼皮', '脏话']
146;西游降魔篇;['除妖', '五指山', '妖猪', '渤饰', '四妹']
147;恋恋笔记本 The Notebook;['疗养院', '罗兰', '笔记本', '场景']
148;邪不压正;['潜龙', '重洋', '医生', '韵饰', '青峰']
149;功夫熊猫 Kung Fu Panda;['功夫', '首度', '打破纪录', '动画', '全球']
150;记忆碎片 Memento;['本片', '主人公', '记忆', '遭遇', '事情']
151;鬼子来了;['花屋', '村民', '香川', '台村', '文饰']
152;志明与春娇 志明與春嬌;['后巷', '志明', '街角', '烟民', '短信']
153;春光乍泄 春光乍洩;['笙歌', '布宜诺斯艾利斯', '多心', '港湾', '过日子']
154;冰川时代 Ice Age;['婴儿', '动物', '长毛象', '树獭', '储存']
155;神奇动物在哪里 Fantastic Beasts and Where to Find Them;['魔法', '魔法师', '莫顿', '麻鸡', '饰所']
156;拯救大兵瑞恩 Saving Private Ryan;['伞兵', '敌人', '母亲', '兄弟', '战争']
157;人在囧途;['长沙', '傻气', '巴士', '旅途', '飞机']
158;我的少女时代 我的少女時代;['少女', '初心', '饰因', '校草', '校霸']
159;香水 Perfume: The Story of a Murderer;['气味', '特格', '天赋', '芳香', '天生']
160;一代宗师 一代宗師;['咏春拳', '夫唱妇随', '合璧', '年少时', '拳法']
161;东邪西毒 東邪西毒;['白陀山', '酒话', '念想', '剑客', '中介人']
162;碟中谍6：全面瓦解 Mission: Impossible - Fallout;['核武器', '队友', '任务', '内鬼', '女特工']
163;两小无猜 Jeux d'enfants;['游戏', '校长室', '脏话', '孩童', '闹剧']
164;七月与安生;['野孩子', '影子']
165;怪兽电力公司 Monsters, Inc.;['怪物', '孩子', '衣橱', '国度', '电力公司']
166;窃听风暴 Das Leben der Anderen;['特工', '暗中帮助', '厄饰', '明镜', '篇文章']
167;模仿游戏 The Imitation Game;['图灵', '秘密', '组员', '密码', '逻辑学家']
168;大鱼 Big Fish;['旅程', '环游世界', '奇幻', '生性', '冒险']
169;辩护人 변호인;['大婶', '饭店', '窗外事', '司法考试', '夜店']
170;2012;['方舟', '秘密', '黄石公园', '太阳活动', '即将来临']
171;被解救的姜戈 Django Unchained;['赏金', '猎人', '通缉犯', '布西', '本片']
172;和莎莫的500天 (500) Days of Summer;['伊丹', '本片', '特饰', '情网', '非典型']
173;音乐之声 The Sound of Music;['玛利亚', '规矩', '院长', '安德鲁斯', '家庭教师']
174;恐怖直播 더 테러 라이브;['连线', '大桥', '电话', '普通工人', '电费']
175;无人区;['黑店', '庭辩', '人伤车', '渤饰', '男饰']
176;朗读者 The Reader;['温丝', '读书声', '偶遇', '售票员', '关系']
177;了不起的盖茨比 The Great Gatsby;['海湾', '纽约', '奥饰', '纸醉金迷', '爵士乐']
178;幽灵公主 もののけ姫;['村民', '凶煞', '幻姬', '往西方', '麒麟']
179;色，戒;['爱国', '先生', '太太', '伪政府', '香港']
180;风声;['特务', '假消息', '长武田', '老鬼', '布下']
181;头脑特工队 Inside Out;['配音', '伙伴', '父母', '菲利', '情绪']
182;末代皇帝 The Last Emperor;['江山', '尊龙', '蝈蝈', '账本', '傀儡']
183;花样年华 花樣年華;['太太', '日资', '婚外情', '报馆', '住户']
184;银河护卫队 Guardians of the Galaxy;['球体', '罗南', '星爵', '配音', '小分队']
185;亲爱的;['渤饰', '无故', '纽带', '结识', '枢纽']
186;第六感 The Sixth Sense;['患者', '海利', '鬼魂', '心理学家', '男孩']
187;烈日灼心;['惨案', '队伍', '虎饰', '协警', '伊谷']
188;小偷家族 万引き家族;['女孩', '都市', '松冈', '阿治饰', '结饰']
189;速度与激情7 Furious 7;['森饰', '世外桃源', '死对头', '王牌', '特种部队']
190;乘风破浪;['赛车手', '中阿', '经历', '父亲', '奇幻']
191;影;['群敌', '枷锁', '时局', '秘密', '武器']
192;钢铁侠 Iron Man;['军火', '维吉尼亚', '俄巴', '中的托尼', '贵公子']
193;我的野蛮女友 엽기적인 그녀;['洗澡时', '旅馆', '好心', '地铁', '老人']
194;飞驰人生;['赛车手', '车坛', '车神', '年轻一代', '笑料']
195;一天 One Day;['知己', '人生', '人墙', '工薪', '友人']
196;X战警：逆转未来 X-Men: Days of Future Past;['法斯宾', '魔形', '万磁王', '德饰', '形女']
197;爱在黎明破晓前 Before Sunrise;['火车', '维也纳', '偶遇', '坐飞机', '德尔']
198;爆裂鼓手 Whiplash;['师生关系', '饰相', '西蒙斯', '爵士乐', '隔膜']
199;饮食男女 飲食男女;['老友', '味觉', '友情', '费心', '厨师']
